locationName,Alternate,Region,Governorate,District
Zaatari District 9,JORZAT009,North,Mafraq,Badiah Shamaliyah Gharbiyah
Kitim,JOR007007001009,North,Irbid,Bani Obayd
Liwa Qasabah Mleah,JOR010002,Central,Madaba,Theeban
Zarqa Governorate,JOR012,Central,Zarqa,
Liwa Qasabah Al Mazar,JOR004004,South,Karak,Al Mazar Al janoubi
Liwa Mahis wa al Fuhays,JOR002004,Central,Al Balqa,Mahis Wa Al Fuhays
Liwa Qasabat Irbid,JOR007008,North,Irbid,Qasabat Irbid
Zaatari District 6,JORZAT006,North,Mafraq,Badiah Shamaliyah Gharbiyah
Azraq Camp Village 1,JORAZRV01,Central,Zarqa,Zarqa Qasabah
Liwa Qasabat Madaba,JOR010001,Central,Madaba,Qasabat Madaba
Liwa Qasabah Al-Turrah,JOR007001,North,Irbid,Al Aghwar Al Shamalyah
Liwa Ayy,JOR004005,South,Karak,Ayy
Liwa Qasabat al Mafraq,JOR011004,North,Mafraq,Mafraq Qasabah
Liwa Qasabat Az Zarqa,JOR012002,Central,Zarqa,Zarqa Qasabah
Irbid Governorate,JOR007,North,Irbid,
Liwa Qasabah Ar Rusayfa,JOR012001,Central,Zarqa,Ar Rusayfa
Azraq Camp Village 6,JORAZRV06,Central,Zarqa,Zarqa Qasabah
At Tafilah City,JOR006002001029,South,Tafileh,Qasabat At Tafilah
Liwa Qasabah Al Keteh,JOR008001,North,Jarash,Qasabat Jarash
Liwa al Qasr,JOR004002,South,Karak,Al Qasr
Liwa al Aghwar ash Shamaliyah,JOR007001,North,Irbid,Al Aghwar Al Shamalyah
Irbid City,JOR007008001009,North,Irbid,Qasabat Irbid
Liwa al Husayniyah,JOR009002,South,Ma'an,Al Husayniyya
Liwa Qasabah City center,,South,Aqaba,
Zaatari District 5,JORZAT005,North,Mafraq,Badiah Shamaliyah Gharbiyah
Zaatari District 3,JORZAT003,North,Mafraq,Badiah Shamaliyah Gharbiyah
Zaatari District 10,JORZAT010,North,Mafraq,Badiah Shamaliyah Gharbiyah
Ghawr Al Mazr'ha,,South,Karak,Aghwar Janoobiyah
Zaatari District 2,JORZAT002,North,Mafraq,Badiah Shamaliyah Gharbiyah
Liwa al Hasa,JOR006001,South,Tafileh,Al Hasa
Liwa Qasabah Irbid Aydoun,JOR007001,North,Irbid,Qasabat Irbid
Zaatari District 4,JORZAT004,North,Mafraq,Badiah Shamaliyah Gharbiyah
Liwa al Kurah,JOR007002,North,Irbid,Al Koura
Liwa Bani Kinanah,JOR007006,North,Irbid,Bani Kinana
Liwa ash Shunah al Janubiyah,JOR002001,Central,Al Balqa,Ash Shuna Al Janoubyah
Liwa Naur,JOR005006,Central,Amman,Naur
Non Camp,JORNONCAMP,,,
Liwa Qasabat As Salt,JOR002005,Central,Al Balqa,Qasabat As Salt
Aqaba City,,South,Aqaba,Qasabat Al Aqabah
Liwa Qasabah Al Khaldyah,,North,Mafraq,Badiah Shamaliyah Gharbiyah
Maan City,,South,Ma'an,Qasabat Ma'an
Zaatari District 11,JORZAT011,North,Mafraq,Badiah Shamaliyah Gharbiyah
"Liwa Qasabah Southern Marka, Nadi ElSebaq",JOR005004,Central,Amman,
Souf Camp,,North,Jarash,
Madaba Governorate,JOR010,Central,Madaba,
Liwa Qasabat al Karak,JOR004007,South,Karak,Qasabat Al Karak
Country Wide,JOR,,,
Liwa Ayn al Basha,JOR002002,Central,Al Balqa,Ayn Al Basha
Emirati Jordanian Camp (EJC),JOREJC,Central,Zarqa,Zarqa Qasabah
Al Balqa Governorate,JOR002,Central,Al Balqa,
Liwa Qasabah Sama As Sarhan,,North,Mafraq,Badiah Shamaliyah Gharbiyah
Jarash City,,North,Jarash,Qasabat Jarash
Madaba City,,Central,Madaba,Qasabat Madaba
Liwa Qasabat Amman,JOR005007,Central,Amman,Qasabat Amman
As Salt City,JOR002005003017,Central,Al Balqa,Qasabat As Salt
Zaatari District 7,JORZAT007,North,Mafraq,Badiah Shamaliyah Gharbiyah
Liwa al Wasatiyah,JOR007004,North,Irbid,Al Wastiyya
Liwa ar Rusayfah,JOR012001,Central,Zarqa,Ar Rusayfa
Al Khaldyah,,North,Mafraq,Badiah Shamaliyah Gharbiyah
Liwa al Jamiah,JOR005001,Central,Amman,Al Jamiah
Mafraq City,,North,Mafraq,Mafraq Qasabah
Ar-Ramtha City,JOR007009001007,North,Irbid,Ar Ramtha
Zaatri Village,JOR011003002006,North,,
Liwa Qasabat Jarash,JOR008001,North,Jarash,Qasabat Jarash
Liwa Qasabah Al Mahdod,,South,Aqaba,
Liwa Qasabah Prince Ghazi Street,,North,Mafraq,
Mafraq Governorate,JOR011,North,Mafraq,
Liwa al Muwaqqar,JOR005005,Central,Amman,Mwaqqar
Amman Governorate,JOR005,Central,Amman,
Camps,JORCAMP,,,
Liwa Marka,JOR005004,Central,Amman,Marka
Amman,,,,
Liwa Qasabah Al-Hashmi Al-Shamali,,Central,Amman,
Liwa Qasabah Al Hashmi Shamali,,Central,Amman,
Liwa Sahab,JOR005008,Central,Amman,Sahab
Liwa Qasabah Nazal,,Central,Amman,
Liwa Qasabah Al Qatrana,JOR004003,South,Karak,Al Qatrana
Liwa Qasabat Ajlun,JOR001002,North,Ajlun,Qasabat Ajloun
Rehab Bani Hasan,aka Rehab,North,Mafraq,Mafraq Qasabah
Dahr Al Saroo,,North,Jarash,Qasabat Jarash
Liwa al Jizah,JOR005002,Central,Amman,Al Jiza
Karak City,,South,Karak,Qasabat Al Karak
Kafrayn,,Central,Al Balqa,
Liwa Qasabah Kufranjah,,North,Ajlun,Kufranja
Liwa ash Shubak,JOR009004,South,Ma'an,Ash Shobak
Liwa al Badiyah ash Shamaliyah,JOR011002,North,Mafraq,Badiah Shamaliyah
Jarash Governorate,JOR008,North,Jarash,
Liwa Qasabat at Tafilah,JOR006002,South,Tafileh,Qasabat At Tafilah
Tafileh Governorate,JOR006,South,Tafileh,
Liwa ar Ramtha,JOR007009,North,Irbid,Ar Ramtha
An Nu3ayyimah,JOR007007001005,North,Irbid,Bani Obayd
Liwa Bani Ubayid,JOR007007,North,Irbid,Bani Obayd
Zaatari District 12,JORZAT012,North,Mafraq,Badiah Shamaliyah Gharbiyah
Azraq City,JOR012002004002,Central,Zarqa,Zarqa Qasabah
Liwa al Badiyah ash Shamaliyah al Gharbiyah,JOR011003,North,Mafraq,Badiah Shamaliyah Gharbiyah
Ras Munif,,North,Ajlun,Qasabat Ajloun
Liwa al Qatranah,,South,Karak,Al Qatrana
Karak Governorate,JOR004,South,Karak,
Ajlun City,JOR001002001023,North,Ajlun,Qasabat Ajloun
Aqaba Governorate,,South,Aqaba,
Liwa at Tayyibah,JOR007005,North,Irbid,At Tayba
Liwa Wadi as Sayr,,Central,Amman,Wadi As Sir
Liwa Busayra,,South,Tafileh,Busayrah
Liwa al Batra,,South,Ma'an,Al Petra
Liwa ar Ruwayshid,JOR011001,North,Mafraq,Al-ruwaished
Maan Governorate,JOR009,South,Ma'an,
Zaatari Camp (all district),JORZAT,North,Mafraq,Badiah Shamaliyah Gharbiyah
Azraq Camp Village 2,JORAZRV02,Central,Zarqa,Zarqa Qasabah
Liwa Qasabat al Aqabah,JOR003001,South,Aqaba,Qasabat Al Aqabah
Liwa al Quwayrah,,South,Aqaba,Al Quwayra
Azraq Camp,JORAZR,Central,Zarqa,Zarqa Qasabah
Liwa al Aghwar al Janubiyah,JOR004001,South,Karak,Aghwar Janoobiyah
Liwa al Mazar al Janubi,JOR004004,South,Karak,Al Mazar Al janoubi
Zarqa City,JOR012002002006,Central,Zarqa,Zarqa Qasabah
Liwa Al Quaysmh,JOR005003,Central,Amman,Al Quaysmh
Liwa Qasabah Ghawr Al Safi,,South,Karak,Aghwar Janoobiyah
Liwa Faqqu,JOR004006,South,Karak,Fqou
King Abdullah Park Refugee Center,KAP,North,Irbid,
Cyber City Refugee Center,,North,Irbid,
Liwa al Mazar ash Shamali,JOR007003,North,Irbid,Al Mazar Ash Shamali
"Liwa Qasabah Al-Manara, Josor Al- Ashra",,Central,Amman,
Zaatari District 1,JORZAT001,North,Mafraq,Badiah Shamaliyah Gharbiyah
Ajlun Governorate,JOR001,North,Ajlun,
Zaatari District 8,JORZAT008,North,Mafraq,Badiah Shamaliyah Gharbiyah
Liwa Qasabah Ghawr Al Safi,,South,Karak,Aghwar Janoobiyah
Liwa Qasabat Maan,JOR009001,South,Ma'an,Qasabat Ma'an
Liwa Qasabah Al Wehdat Al Sharkheiah,,South,Aqaba,
Liwa Dayr Alla,JOR002003,Central,Al Balqa,Deir Alla
Liwa Qasabah Ash Shobak,,South,Ma'an,Al Petra
Liwa Dhiban,JOR010002,Central,Madaba,Theeban
Azraq Camp Village 3,JORAZRV03,Central,Zarqa,Zarqa Qasabah
